@relation explaining_humans

@attribute iter integer
@attribute user string
@attribute tf string
@attribute score numeric
@attribute PFdist numeric
@attribute acr numeric
@attribute class {Pareto,Not-Pareto}
@attribute scaled_acr numeric

@data
9,A12FWV00JX3IUZ,schwef,-502.405861988339,0,-686.615318196834,Pareto,0.732472699926153
10,A12FWV00JX3IUZ,schwef,-627.511392419357,0,-679.227327474649,Pareto,0.76112366147918
11,A12FWV00JX3IUZ,schwef,-937.591887490636,0,-707.934500809759,Pareto,0.649795947294246
12,A12FWV00JX3IUZ,schwef,-501.048486201893,0,-687.245899348972,Pareto,0.730027277750441
13,A12FWV00JX3IUZ,schwef,-1021.32649266399,0,-717.61686237761,Pareto,0.612247312021869
14,A12FWV00JX3IUZ,schwef,-217.538825894264,0,-675.943692670665,Pareto,0.773857745489415
15,A12FWV00JX3IUZ,schwef,-223.465125603883,0,-641.137649050143,Pareto,0.908837153975959
16,A12FWV00JX3IUZ,schwef,-312.033732889477,0,-617.630226467238,Pareto,1
17,A12FWV00JX3IUZ,schwef,-780.392048985169,0,-628.4810146351,Pareto,0.957920153623917
18,A12FWV00JX3IUZ,schwef,-1203.59720221251,0,-664.425776358688,Pareto,0.818524744926014
19,A12FWV00JX3IUZ,schwef,-822.220112343124,0,-673.707796122479,Pareto,0.782528653243301
3,A12FWV00JX3IUZ,stybtang,-6.0490649102163,0,-6.0490649102163,Pareto,0
4,A12FWV00JX3IUZ,stybtang,25.7237961059471,0,9.8373655978654,Pareto,0.428661277314281
5,A12FWV00JX3IUZ,stybtang,4.59529188202638,0,8.09000769258573,Pareto,0.38151256941408
6,A12FWV00JX3IUZ,stybtang,57.927472368569,0,20.5493738615815,Pareto,0.717701860885887
7,A12FWV00JX3IUZ,stybtang,39.0823727522891,0,24.2559736397231,Pareto,0.81771651141312
8,A12FWV00JX3IUZ,stybtang,49.5662644779401,0,28.4743554460926,Pareto,0.931540503051631
9,A12FWV00JX3IUZ,stybtang,46.2343904413642,0.474149017824601,31.0115033025599,Not-Pareto,1
10,A12FWV00JX3IUZ,stybtang,22.2828095499398,0.100858280267742,29.9204165834824,Not-Pareto,0.970559363450305
11,A12FWV00JX3IUZ,stybtang,4.9106351804457,1.49112625009351,27.141551983145,Not-Pareto,0.895577658248618
12,A12FWV00JX3IUZ,stybtang,39.7332246454224,0.598937910690669,28.4007192493727,Not-Pareto,0.929553588110202
13,A12FWV00JX3IUZ,stybtang,25.2488945140836,0.907946708476003,28.1141897279828,Not-Pareto,0.921822203104315
14,A12FWV00JX3IUZ,stybtang,18.0072564161376,2.58900649018285e-05,27.2719452853291,Pareto,0.899096042031495
15,A12FWV00JX3IUZ,stybtang,-149.816904835586,4.97180670181511,13.6497260452587,Not-Pareto,0.531529652820704
16,A12FWV00JX3IUZ,stybtang,-11.6644231058496,9.58877065177994,11.8415725344652,Not-Pareto,0.482740505811077
17,A12FWV00JX3IUZ,stybtang,-34.6870133807719,1.31968971324824,8.73966680678274,Not-Pareto,0.399042228173414
18,A12FWV00JX3IUZ,stybtang,43.3369552179494,2.13743102729574,10.9019973324807,Not-Pareto,0.457388082810162
19,A12FWV00JX3IUZ,stybtang,7.37765066619023,18.3010465777566,10.6946828226989,Not-Pareto,0.451794145108194
3,A12MGWY3SEUELV,ackley,-11.3134455708787,0,-11.3134455708787,Pareto,1
4,A12MGWY3SEUELV,ackley,-18.3150042570457,0,-14.8142249139622,Pareto,0.548705561493681
5,A12MGWY3SEUELV,ackley,-21.1503030500498,0,-16.9262509593247,Pareto,0.276438870325117
6,A12MGWY3SEUELV,ackley,-21.079937779827,0.000706385143949717,-17.9646726644503,Not-Pareto,0.142573266577969
7,A12MGWY3SEUELV,ackley,-16.8711130990135,0,-17.7459607513629,Pareto,0.17076797990842
8,A12MGWY3SEUELV,ackley,-21.3550116930664,0,-18.3474692416468,Pareto,0.0932259786064017
9,A12MGWY3SEUELV,ackley,-20.8506975057223,0,-18.7050732793719,Pareto,0.0471263254730006
10,A12MGWY3SEUELV,ackley,-20.4796877835099,0,-18.9269000923892,Pareto,0.0185300624083058
11,A12MGWY3SEUELV,ackley,-20.2205720004183,0.0210691361524998,-19.0706414155035,Not-Pareto,0
12,A12MGWY3SEUELV,ackley,-17.5922362080905,0.00286547590897435,-18.9228008947622,Not-Pareto,0.0190585004816843
13,A12MGWY3SEUELV,ackley,-17.8874290661624,0.001638452703874,-18.8286761830713,Not-Pareto,0.0311923583313754
14,A12MGWY3SEUELV,ackley,-15.5017358801488,0,-18.5514311578278,Pareto,0.0669327251851601
15,A12MGWY3SEUELV,ackley,-20.6382920756898,0.0292972824134132,-18.7119589207402,Not-Pareto,0.0462386797945567
16,A12MGWY3SEUELV,ackley,-20.146326698113,0,-18.8144137619811,Pareto,0.0330309635923283
17,A12MGWY3SEUELV,ackley,-20.4223626583004,0,-18.9216103550691,Pareto,0.0192119760051795
18,A12MGWY3SEUELV,ackley,-12.6665929436279,0,-18.530671766854,Pareto,0.0696088714871943
19,A12MGWY3SEUELV,ackley,-16.446428933263,0,-18.408069247231,Pareto,0.0854138765532912
3,A12MGWY3SEUELV,beale,-1879.87823200987,0,-1879.87823200987,Pareto,1
4,A12MGWY3SEUELV,beale,-2021.60874940002,2166.34212132067,-1950.74349070495,Not-Pareto,0.989961431340485
5,A12MGWY3SEUELV,beale,-19425.6745697521,0,-7775.720517054,Pareto,0.164811944894478
6,A12MGWY3SEUELV,beale,-12429.5477735583,0,-8939.17733118007,Pareto,0
7,A12MGWY3SEUELV,beale,-1612.15850425106,901.592913545193,-7473.77356579427,Not-Pareto,0.207584881274977
8,A12MGWY3SEUELV,beale,-16.7212656367897,0,-6230.93151576802,Pareto,0.383642310286923
9,A12MGWY3SEUELV,beale,-427.004122615058,0,-5401.79903103189,Pareto,0.501094832568292
10,A12MGWY3SEUELV,beale,-19.8236918973861,0,-4729.05211364007,Pareto,0.59639422531833
11,A12MGWY3SEUELV,beale,-4.77614957375247,0,-4204.13256207715,Pareto,0.670752818740817
12,A12MGWY3SEUELV,beale,-9.05546176910081,0.297905688280228,-3784.62485204634,Not-Pareto,0.730179073973453
13,A12MGWY3SEUELV,beale,-2187.5017805101,2116.71376220138,-3639.43184554305,Not-Pareto,0.750746697538285
14,A12MGWY3SEUELV,beale,-52.7820150717793,3152.01613863133,-3340.54435967044,Not-Pareto,0.793086238854468
15,A12MGWY3SEUELV,beale,-2520.86616380868,1.28662153401071,-3277.492190758,Not-Pareto,0.802018027694504
16,A12MGWY3SEUELV,beale,-3037.39094391924,1021.48844368514,-3260.34210169809,Not-Pareto,0.804447459968018
17,A12MGWY3SEUELV,beale,-1405.72699012258,5807.23001588669,-3136.70109425972,Not-Pareto,0.82196208935281
18,A12MGWY3SEUELV,beale,-32.9139685436062,3608.73086757759,-2942.71439890246,Not-Pareto,0.849441686495827
19,A12MGWY3SEUELV,beale,-75.2076459980939,2674.76145855604,-2774.03753108456,Not-Pareto,0.873335966288807
3,A12MGWY3SEUELV,branin,-143.471504945854,1.74961042632657e-05,-143.471504945854,Pareto,0
4,A12MGWY3SEUELV,branin,-132.956248986458,5.35484244880092,-138.213876966156,Not-Pareto,0.0545770502986242
5,A12MGWY3SEUELV,branin,-64.0184886817881,4.80670089938038,-113.482080871367,Not-Pareto,0.31130660298907
6,A12MGWY3SEUELV,branin,-29.5062657622846,20.1682562971083,-92.4881270940962,Not-Pareto,0.529235310705454
7,A12MGWY3SEUELV,branin,-41.2263023793371,20.1614709914795,-82.2357621511444,Not-Pareto,0.635660458953291
8,A12MGWY3SEUELV,branin,-29.8810247942888,0.272469055935613,-73.5099725916684,Not-Pareto,0.726238920860762
